epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000200,983.1143,59.2335,17.6891,0.8906,7151,6196,944,11,1,,,
2,0.000380,598.3098,35.3268,16.8515,1.0919,6941,6062,872,7,0,,,
3,0.000560,396.7471,22.9401,15.2351,1.8542,6959,6035,916,7,0,,,
4,0.000740,285.0734,16.0664,14.3794,2.2275,7037,6087,940,8,0,,,
5,0.000920,215.6893,11.8166,13.6483,2.4105,6972,6058,904,9,1,0.0216,0.3136,0.0154
6,0.001100,173.2025,9.2367,13.0065,2.6796,6966,6046,911,8,1,,,
