epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000300,22.9765,1.6998,0.9671,0.5793,71,58,10,1,2,,,
2,0.001200,15.8279,1.1046,0.9764,0.5810,70,57,11,1,2,,,
3,0.002100,11.2199,0.7217,0.9719,0.5774,72,59,11,1,1,,,
4,0.003000,8.1506,0.4618,0.9845,0.5778,71,57,11,1,1,,,
5,0.002999,8.0562,0.4576,0.9698,0.5800,70,57,11,1,2,0.5614,0.8240,0.0407
6,0.002997,8.1521,0.4615,0.9900,0.5758,73,60,11,1,2,,,
7,0.002993,8.0593,0.4567,0.9787,0.5786,72,58,11,1,2,,,
8,0.002988,8.0923,0.4603,0.9774,0.5784,71,57,11,1,2,,,
9,0.002981,7.9793,0.4520,0.9736,0.5782,72,58,11,1,1,,,
10,0.002972,8.0646,0.4595,0.9748,0.5769,72,58,11,1,2,0.5686,0.8356,0.0413
11,0.002962,7.9949,0.4531,0.9782,0.5813,71,57,11,1,1,,,
12,0.002951,7.9637,0.4521,0.9732,0.5811,71,57,11,1,2,,,
13,0.002938,7.9472,0.4503,0.9764,0.5789,73,59,11,1,2,,,
14,0.002923,7.9789,0.4549,0.9708,0.5810,71,57,11,1,1,,,
15,0.002907,7.9676,0.4550,0.9680,0.5826,71,57,11,1,2,0.5559,0.8265,0.0408
16,0.002890,8.0262,0.4611,0.9661,0.5775,73,59,11,1,2,,,
17,0.002871,8.1139,0.4673,0.9740,0.5804,71,57,11,1,2,,,
18,0.002851,7.9873,0.4573,0.9713,0.5766,71,58,11,1,2,,,
19,0.002829,7.9771,0.4557,0.9758,0.5806,70,57,11,1,1,,,
20,0.002806,7.9613,0.4556,0.9726,0.5795,71,58,11,1,2,0.5520,0.8253,0.0408
21,0.002782,7.9872,0.4565,0.9798,0.5828,73,59,11,1,1,,,
22,0.002756,7.9418,0.4559,0.9686,0.5810,71,57,11,1,2,,,
23,0.002729,7.8887,0.4511,0.9705,0.5811,72,58,11,1,2,,,
24,0.002701,7.8529,0.4480,0.9716,0.5784,73,60,11,1,2,,,
25,0.002672,7.8858,0.4539,0.9624,0.5814,71,57,11,1,2,0.5536,0.8279,0.0410
26,0.002641,7.8495,0.4493,0.9689,0.5809,73,59,11,1,1,,,
27,0.002609,7.8604,0.4507,0.9693,0.5789,72,58,11,1,1,,,
28,0.002576,7.8314,0.4492,0.9668,0.5819,71,57,11,1,2,,,
29,0.002542,7.8845,0.4526,0.9737,0.5776,73,59,11,1,2,,,
30,0.002507,7.8131,0.4488,0.9654,0.5822,70,57,11,1,1,0.5656,0.8342,0.0412
31,0.002471,7.8298,0.4501,0.9679,0.5794,71,58,11,1,2,,,
32,0.002434,7.8872,0.4543,0.9735,0.5802,72,58,11,1,2,,,
33,0.002396,7.8028,0.4498,0.9636,0.5827,72,58,11,1,2,,,
34,0.002357,7.8514,0.4554,0.9617,0.5805,71,58,11,1,2,,,
35,0.002317,7.7770,0.4510,0.9547,0.5832,71,57,11,1,1,0.5657,0.8339,0.0411
36,0.002276,7.7319,0.4453,0.9613,0.5818,73,59,11,1,2,,,
37,0.002235,7.6319,0.4358,0.9628,0.5822,70,57,10,1,1,,,
38,0.002193,7.8540,0.4547,0.9716,0.5830,72,58,11,1,1,,,
39,0.002150,7.8112,0.4538,0.9629,0.5829,72,58,11,1,2,,,
40,0.002106,7.7404,0.4467,0.9655,0.5835,71,57,11,1,1,0.5636,0.8293,0.0409
41,0.002062,7.7365,0.4485,0.9602,0.5819,71,58,11,1,1,,,
42,0.002017,7.7450,0.4478,0.9665,0.5805,72,59,11,1,2,,,
43,0.001972,7.6667,0.4418,0.9630,0.5823,72,58,11,1,2,,,
