epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
75,0.009357,6.1744,0.2691,0.9565,0.5491,74,64,10,0,0,0.5019,0.7864,0.0388
76,0.009337,6.1069,0.2672,0.9399,0.5505,73,64,9,0,0,,,
77,0.009317,6.1983,0.2726,0.9456,0.5513,75,65,10,0,0,,,
78,0.009296,6.0923,0.2663,0.9396,0.5498,73,64,9,0,0,,,
79,0.009276,5.9829,0.2583,0.9427,0.5506,75,65,10,0,0,,,
80,0.009255,6.0711,0.2638,0.9464,0.5521,73,64,9,0,0,0.4750,0.7815,0.0386
81,0.009234,6.0864,0.2650,0.9462,0.5507,75,65,10,0,0,,,
82,0.009212,6.0445,0.2628,0.9417,0.5494,74,65,9,0,0,,,
83,0.009191,6.0744,0.2651,0.9409,0.5523,75,65,10,0,0,,,
84,0.009169,5.9998,0.2603,0.9390,0.5528,75,65,10,0,0,,,
85,0.009146,6.0629,0.2654,0.9348,0.5509,74,65,10,0,0,0.5034,0.7980,0.0394
86,0.009124,6.0117,0.2608,0.9411,0.5534,75,65,10,0,0,,,
87,0.009101,6.0036,0.2630,0.9251,0.5525,75,65,10,0,0,,,
88,0.009078,5.9475,0.2587,0.9275,0.5546,76,66,10,0,0,,,
89,0.009055,6.0960,0.2667,0.9418,0.5516,75,65,10,0,0,,,
90,0.009031,5.9245,0.2575,0.9253,0.5538,75,65,10,0,0,0.4586,0.7846,0.0387
91,0.009007,5.9632,0.2594,0.9306,0.5555,75,65,10,0,0,,,
92,0.008983,5.9471,0.2586,0.9287,0.5515,74,64,10,0,0,,,
93,0.008959,5.9386,0.2579,0.9299,0.5524,74,64,10,0,0,,,
94,0.008934,6.0058,0.2609,0.9397,0.5528,74,64,9,0,0,,,
95,0.008909,5.9920,0.2607,0.9354,0.5521,74,65,10,0,0,0.5158,0.8024,0.0396
96,0.008884,6.0377,0.2643,0.9339,0.5521,76,67,10,0,0,,,
97,0.008859,5.9448,0.2584,0.9302,0.5576,74,64,10,0,0,,,
98,0.008833,5.9752,0.2612,0.9265,0.5557,74,64,10,0,0,,,
99,0.008808,6.0319,0.2645,0.9313,0.5554,76,66,10,0,0,,,
100,0.008781,5.9722,0.2605,0.9297,0.5582,75,65,10,0,0,0.5015,0.7810,0.0385
101,0.008755,5.9192,0.2574,0.9262,0.5540,74,64,10,0,0,,,
102,0.008729,5.8382,0.2508,0.9310,0.5536,75,65,9,0,0,,,
103,0.008702,5.9998,0.2623,0.9314,0.5571,74,65,10,0,0,,,
104,0.008675,5.9636,0.2605,0.9275,0.5566,74,65,10,0,0,,,
105,0.008647,5.9816,0.2612,0.9311,0.5588,75,65,10,0,0,0.5185,0.8057,0.0398
106,0.008620,6.0418,0.2659,0.9290,0.5592,75,65,10,0,0,,,
107,0.008592,5.9636,0.2595,0.9337,0.5567,75,66,10,0,0,,,
108,0.008564,5.8270,0.2528,0.9165,0.5576,73,63,9,0,0,,,
109,0.008536,5.9379,0.2582,0.9306,0.5572,74,64,10,0,0,,,
110,0.008508,5.8862,0.2556,0.9248,0.5564,76,66,10,0,0,0.5243,0.8074,0.0398
111,0.008479,5.9347,0.2595,0.9230,0.5554,73,64,9,0,0,,,
112,0.008450,5.9669,0.2604,0.9311,0.5576,76,66,10,0,0,,,
113,0.008421,5.8710,0.2549,0.9234,0.5576,73,63,10,0,0,,,
114,0.008392,5.9026,0.2574,0.9223,0.5610,74,65,10,0,0,,,
115,0.008362,5.9059,0.2564,0.9293,0.5583,74,64,10,0,0,0.5224,0.8072,0.0402
116,0.008332,5.8301,0.2535,0.9156,0.5577,74,65,10,0,0,,,
117,0.008303,5.7580,0.2473,0.9205,0.5557,75,66,9,0,0,,,
118,0.008272,5.8490,0.2530,0.9256,0.5581,75,65,10,0,0,,,
119,0.008242,5.7539,0.2469,0.9212,0.5588,76,66,10,0,0,,,
120,0.008211,5.8036,0.2509,0.9193,0.5566,73,63,9,0,0,0.5267,0.8099,0.0400
121,0.008181,5.8252,0.2534,0.9151,0.5597,75,65,9,0,0,,,
122,0.008150,6.0160,0.2811,0.8440,0.5844,62,53,8,0,0,,,
123,0.008118,6.0120,0.2802,0.8475,0.5825,65,56,9,0,0,,,
124,0.008087,6.0841,0.2849,0.8515,0.5839,64,55,9,0,0,,,
125,0.008055,6.0288,0.2811,0.8506,0.5824,64,55,8,0,0,0.5408,0.8166,0.0403
126,0.008024,5.8805,0.2708,0.8477,0.5829,64,55,9,0,0,,,
127,0.007992,5.9361,0.2748,0.8486,0.5853,63,54,9,0,0,,,
128,0.007960,6.0076,0.2801,0.8494,0.5833,63,55,8,0,0,,,
129,0.007927,5.9079,0.2723,0.8514,0.5800,64,55,9,0,0,,,
130,0.007895,5.9376,0.2751,0.8492,0.5825,64,55,9,0,0,0.5435,0.8230,0.0406
131,0.007862,5.8609,0.2707,0.8427,0.5845,64,55,9,0,0,,,
132,0.007829,5.9538,0.2769,0.8471,0.5806,64,55,9,0,0,,,
133,0.007796,5.9163,0.2745,0.8457,0.5841,64,55,9,0,0,,,
134,0.007763,5.8282,0.2691,0.8402,0.5874,62,53,9,0,0,,,
135,0.007729,5.8704,0.2717,0.8431,0.5858,63,55,8,0,0,0.5398,0.8184,0.0405
136,0.007696,5.9430,0.2772,0.8434,0.5888,64,54,9,0,0,,,
137,0.007662,5.8945,0.2740,0.8417,0.5861,63,54,9,0,0,,,
138,0.007628,5.9334,0.2762,0.8460,0.5855,63,54,8,0,0,,,
139,0.007594,5.9416,0.2791,0.8349,0.5889,63,55,9,0,0,,,
140,0.007559,5.8904,0.2745,0.8392,0.5856,63,54,9,0,0,0.5597,0.8304,0.0411
141,0.007525,5.9658,0.2786,0.8476,0.5864,63,54,8,0,0,,,
142,0.007490,5.7966,0.2677,0.8385,0.5867,63,55,9,0,0,,,
143,0.007456,5.8397,0.2698,0.8448,0.5857,64,55,8,0,0,,,
144,0.007421,5.8650,0.2724,0.8419,0.5875,65,56,9,0,0,,,
145,0.007386,5.8130,0.2676,0.8463,0.5840,64,55,9,0,0,0.5578,0.8219,0.0406
146,0.007350,5.9737,0.2796,0.8479,0.5862,65,56,9,0,0,,,
147,0.007315,5.9019,0.2753,0.8429,0.5863,63,54,8,0,0,,,
148,0.007279,5.7947,0.2682,0.8380,0.5844,64,56,9,0,0,,,
149,0.007244,5.8866,0.2757,0.8363,0.5844,63,55,8,0,0,,,
150,0.007208,5.8339,0.2696,0.8467,0.5862,63,55,9,0,0,0.5564,0.8251,0.0409
151,0.007172,8.5861,0.4647,0.9254,0.5825,57,47,9,1,1,,,
152,0.007136,8.6529,0.4727,0.9136,0.5876,59,48,9,1,1,,,
153,0.007100,8.5845,0.4674,0.9156,0.5877,58,47,9,1,1,,,
154,0.007063,8.6309,0.4719,0.9130,0.5888,58,47,9,1,1,,,
155,0.007027,8.4737,0.4630,0.8996,0.5886,58,47,9,1,1,0.5489,0.8223,0.0405
156,0.006990,8.4404,0.4614,0.8968,0.5893,56,46,8,1,1,,,
157,0.006953,8.5224,0.4673,0.9005,0.5885,57,46,8,1,1,,,
158,0.006917,8.4620,0.4645,0.8936,0.5893,57,47,9,1,1,,,
159,0.006880,8.4802,0.4658,0.8958,0.5896,57,47,9,1,1,,,
160,0.006843,8.4825,0.4682,0.8874,0.5905,58,47,9,1,1,0.5428,0.8209,0.0405
161,0.006805,8.4703,0.4667,0.8915,0.5901,56,46,8,1,1,,,
162,0.006768,8.4330,0.4638,0.8932,0.5888,57,47,8,1,1,,,
163,0.006731,8.4176,0.4636,0.8906,0.5884,57,46,9,1,1,,,
164,0.006693,8.4456,0.4668,0.8877,0.5917,58,47,9,1,1,,,
165,0.006655,8.3659,0.4611,0.8870,0.5916,56,46,8,1,1,0.5508,0.8302,0.0409
166,0.006618,8.3320,0.4610,0.8767,0.5902,57,46,8,1,1,,,
167,0.006580,8.3770,0.4649,0.8769,0.5925,57,47,8,1,1,,,
168,0.006542,8.4535,0.4691,0.8870,0.5902,57,46,9,1,1,,,
169,0.006504,8.1744,0.4493,0.8785,0.5922,58,47,8,1,1,,,
170,0.006465,8.3398,0.4618,0.8830,0.5924,59,48,9,1,1,0.5497,0.8286,0.0409
171,0.006427,8.3303,0.4606,0.8868,0.5916,58,47,9,1,1,,,
172,0.006389,8.1926,0.4512,0.8816,0.5930,59,48,9,1,1,,,
173,0.006350,8.2841,0.4583,0.8839,0.5914,58,48,9,1,1,,,
174,0.006312,8.2699,0.4597,0.8744,0.5917,56,46,8,1,1,,,
175,0.006273,8.2519,0.4580,0.8773,0.5901,57,47,8,1,1,0.5409,0.8229,0.0407
176,0.006235,8.2547,0.4583,0.8786,0.5930,57,46,8,1,1,,,
177,0.006196,8.1258,0.4496,0.8733,0.5900,57,47,8,1,1,,,
178,0.006157,8.2551,0.4568,0.8884,0.5891,58,47,9,1,1,,,
179,0.006118,8.1838,0.4559,0.8695,0.5925,57,47,8,1,1,,,
180,0.006079,8.1419,0.4516,0.8749,0.5960,58,47,9,1,1,0.5546,0.8262,0.0407
181,0.006040,8.2364,0.4590,0.8775,0.5939,57,47,9,1,1,,,
182,0.006001,8.1263,0.4530,0.8670,0.5948,56,46,8,1,1,,,
183,0.005962,8.1518,0.4534,0.8755,0.5942,57,46,8,1,1,,,
184,0.005923,8.0905,0.4497,0.8717,0.5936,57,46,8,1,1,,,
185,0.005883,8.1316,0.4545,0.8673,0.5957,57,47,8,1,1,0.5697,0.8368,0.0413
186,0.005844,8.0614,0.4499,0.8640,0.5939,57,46,8,1,1,,,
187,0.005805,8.1939,0.4597,0.8699,0.5948,58,47,9,1,1,,,
188,0.005765,8.0422,0.4486,0.8661,0.5951,57,46,8,1,1,,,
189,0.005726,7.9619,0.4423,0.8669,0.5954,58,48,9,1,1,,,
