epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000300,35.8732,3.9185,1.1314,0.1729,51,49,2,0,0,,,
2,0.000570,17.5214,1.7142,0.9519,0.2428,51,49,2,0,0,,,
3,0.000840,14.2042,1.3273,0.8964,0.2759,52,49,2,0,0,,,
4,0.001110,11.5303,1.0127,0.8571,0.2882,52,50,2,0,0,,,
5,0.001380,9.4307,0.7698,0.8180,0.3059,51,49,2,0,0,0.0353,0.3065,0.0150
6,0.001650,7.9445,0.5938,0.7985,0.3171,52,49,2,0,0,,,
7,0.001920,6.8590,0.4652,0.7843,0.3288,52,50,2,0,0,,,
8,0.002190,5.9186,0.3546,0.7705,0.3353,51,49,2,0,0,,,
9,0.002460,5.2545,0.2765,0.7606,0.3423,51,49,2,0,0,,,
10,0.002730,4.6992,0.2184,0.7381,0.3496,52,49,2,0,0,0.0877,0.4079,0.0201
11,0.003000,4.2919,0.1684,0.7361,0.3552,53,50,2,0,0,,,
12,0.003000,4.1838,0.1670,0.7120,0.3595,51,48,2,0,0,,,
13,0.003000,4.1927,0.1671,0.7141,0.3631,52,49,2,0,0,,,
14,0.002999,4.1695,0.1661,0.7101,0.3670,51,49,2,0,0,,,
15,0.002999,4.1548,0.1622,0.7143,0.3634,52,50,2,0,0,0.1081,0.4128,0.0218
16,0.002998,4.1054,0.1645,0.6973,0.3726,52,50,2,0,0,,,
17,0.002998,4.0750,0.1591,0.7006,0.3717,53,50,2,0,0,,,
18,0.002997,4.0239,0.1577,0.6906,0.3774,52,49,2,0,0,,,
19,0.002996,3.9952,0.1572,0.6844,0.3791,51,49,2,0,0,,,
20,0.002995,3.9889,0.1523,0.6925,0.3770,52,50,2,0,0,0.1137,0.3857,0.0216
21,0.002994,3.9490,0.1503,0.6866,0.3794,51,49,2,0,0,,,
22,0.002992,3.9397,0.1533,0.6782,0.3833,52,50,2,0,0,,,
23,0.002991,3.9387,0.1527,0.6793,0.3827,51,49,2,0,0,,,
24,0.002989,3.9146,0.1502,0.6782,0.3825,52,50,2,0,0,,,
25,0.002988,3.8540,0.1487,0.6660,0.3913,52,50,2,0,0,0.1504,0.4377,0.0260
26,0.002986,3.8750,0.1504,0.6679,0.3874,52,49,2,0,0,,,
27,0.002984,3.8550,0.1415,0.6807,0.3907,51,49,2,0,0,,,
28,0.002982,3.8855,0.1478,0.6758,0.3897,52,50,2,0,0,,,
29,0.002980,3.8366,0.1462,0.6667,0.3911,52,49,2,0,0,,,
30,0.002977,3.7487,0.1405,0.6561,0.3922,51,49,2,0,0,0.1907,0.5223,0.0286
31,0.002975,3.7753,0.1414,0.6610,0.3940,51,49,2,0,0,,,
32,0.002972,3.7652,0.1449,0.6514,0.3977,52,50,2,0,0,,,
33,0.002969,3.7764,0.1387,0.6666,0.3950,52,49,2,0,0,,,
34,0.002967,3.8000,0.1471,0.6557,0.3987,52,50,2,0,0,,,
35,0.002964,3.7282,0.1393,0.6535,0.3976,52,50,2,0,0,0.2138,0.5201,0.0295
36,0.002961,3.6894,0.1348,0.6527,0.4005,52,49,2,0,0,,,
37,0.002957,3.5951,0.1518,0.5951,0.4261,44,42,2,0,0,,,
38,0.002954,3.5849,0.1555,0.5852,0.4273,44,42,2,0,0,,,
