epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000300,32.8506,3.5491,1.1145,0.1780,51,48,2,0,0,,,
2,0.000570,17.3404,1.6971,0.9408,0.2494,52,50,2,0,0,,,
3,0.000840,13.6946,1.2732,0.8773,0.2798,51,49,2,0,0,,,
4,0.001110,11.2259,0.9830,0.8404,0.3016,52,50,2,0,0,,,
5,0.001380,9.1056,0.7343,0.8079,0.3072,52,49,2,0,0,0.0554,0.3651,0.0178
6,0.001650,7.8206,0.5812,0.7927,0.3238,52,49,2,0,0,,,
7,0.001920,6.6432,0.4490,0.7627,0.3364,52,50,2,0,0,,,
8,0.002190,5.7221,0.3402,0.7502,0.3403,51,49,2,0,0,,,
9,0.002460,5.0337,0.2590,0.7404,0.3431,52,50,2,0,0,,,
10,0.002730,4.6476,0.2113,0.7394,0.3508,52,49,2,0,0,0.0799,0.3766,0.0187
11,0.003000,4.2510,0.1655,0.7318,0.3576,51,49,2,0,0,,,
12,0.003000,4.2060,0.1634,0.7247,0.3608,52,50,2,0,0,,,
13,0.003000,4.2014,0.1661,0.7182,0.3654,51,49,2,0,0,,,
14,0.002999,4.1401,0.1638,0.7074,0.3673,52,50,2,0,0,,,
15,0.002999,4.0851,0.1585,0.7044,0.3713,52,50,2,0,0,0.1138,0.4352,0.0215
16,0.002998,4.0247,0.1547,0.6967,0.3739,52,50,2,0,0,,,
17,0.002997,4.0474,0.1559,0.7000,0.3779,52,50,2,0,0,,,
18,0.002996,3.9857,0.1554,0.6856,0.3800,51,49,2,0,0,,,
19,0.002994,3.9472,0.1516,0.6835,0.3800,50,48,2,0,0,,,
20,0.002993,3.9102,0.1463,0.6850,0.3807,52,49,2,0,0,0.1619,0.4400,0.0254
21,0.002991,3.8619,0.1456,0.6743,0.3828,51,49,2,0,0,,,
22,0.002989,3.8638,0.1443,0.6774,0.3821,52,50,2,0,0,,,
23,0.002987,3.9042,0.1485,0.6791,0.3862,52,50,2,0,0,,,
24,0.002985,3.8397,0.1452,0.6696,0.3899,52,50,2,0,0,,,
25,0.002983,3.7995,0.1396,0.6707,0.3851,51,49,2,0,0,0.1865,0.5327,0.0278
26,0.002980,3.8336,0.1429,0.6726,0.3924,52,50,2,0,0,,,
27,0.002978,3.7455,0.1398,0.6567,0.3939,51,49,2,0,0,,,
28,0.002975,3.7809,0.1393,0.6666,0.3902,51,49,2,0,0,,,
29,0.002972,3.7609,0.1384,0.6634,0.3924,53,50,2,0,0,,,
30,0.002969,3.7534,0.1394,0.6595,0.3954,52,50,2,0,0,0.1978,0.4986,0.0295
31,0.002965,3.7436,0.1350,0.6660,0.3930,52,49,2,0,0,,,
32,0.002962,3.6229,0.1529,0.5999,0.4215,45,43,2,0,0,,,
33,0.002958,3.5952,0.1512,0.5965,0.4250,44,42,2,0,0,,,
34,0.002954,3.6130,0.1551,0.5930,0.4263,45,43,2,0,0,,,
35,0.002950,3.5399,0.1496,0.5857,0.4272,43,41,2,0,0,0.2237,0.5539,0.0297
36,0.002946,3.5798,0.1529,0.5892,0.4279,44,42,2,0,0,,,
37,0.002941,3.5357,0.1489,0.5861,0.4260,44,42,2,0,0,,,
38,0.002937,3.5357,0.1483,0.5874,0.4276,45,43,2,0,0,,,
39,0.002932,3.5593,0.1562,0.5774,0.4346,45,43,2,0,0,,,
40,0.002927,3.4908,0.1476,0.5775,0.4333,44,42,2,0,0,0.2438,0.5472,0.0313
41,0.002922,3.5688,0.1540,0.5842,0.4327,44,42,2,0,0,,,
42,0.002917,3.5485,0.1496,0.5879,0.4305,44,42,2,0,0,,,
43,0.002912,3.4914,0.1458,0.5812,0.4348,44,42,2,0,0,,,
44,0.002906,3.5072,0.1428,0.5912,0.4346,44,42,2,0,0,,,
45,0.002900,3.5072,0.1469,0.5830,0.4332,45,43,2,0,0,0.2340,0.5145,0.0300
46,0.002895,3.5359,0.1506,0.5827,0.4326,44,42,2,0,0,,,
47,0.002888,3.5266,0.1504,0.5808,0.4341,45,43,2,0,0,,,
48,0.002882,3.4885,0.1454,0.5814,0.4359,45,43,2,0,0,,,
49,0.002876,3.4741,0.1440,0.5805,0.4392,44,42,2,0,0,,,
50,0.002869,3.4826,0.1472,0.5763,0.4391,45,43,2,0,0,0.2582,0.5456,0.0325
51,0.002863,3.4206,0.1412,0.5728,0.4381,45,43,2,0,0,,,
52,0.002856,3.4286,0.1409,0.5754,0.4385,44,42,2,0,0,,,
53,0.002849,3.4384,0.1438,0.5719,0.4396,43,41,2,0,0,,,
54,0.002842,3.4455,0.1432,0.5750,0.4379,44,42,2,0,0,,,
55,0.002834,3.4249,0.1449,0.5665,0.4425,44,42,2,0,0,0.2713,0.5781,0.0308
56,0.002827,3.4402,0.1460,0.5680,0.4423,43,41,2,0,0,,,
57,0.002819,3.4213,0.1427,0.5699,0.4424,44,42,2,0,0,,,
58,0.002812,3.4451,0.1465,0.5682,0.4432,44,42,2,0,0,,,
59,0.002804,3.4274,0.1436,0.5695,0.4404,44,42,2,0,0,,,
60,0.002796,3.4073,0.1435,0.5649,0.4423,44,42,2,0,0,0.2452,0.5055,0.0339
61,0.002787,3.3753,0.1388,0.5663,0.4444,45,43,2,0,0,,,
62,0.002779,3.4430,0.1459,0.5689,0.4423,44,42,2,0,0,,,
63,0.002771,3.4006,0.1418,0.5666,0.4467,44,42,2,0,0,,,
64,0.002762,3.3601,0.1388,0.5624,0.4441,44,42,2,0,0,,,
65,0.002753,3.3468,0.1366,0.5634,0.4479,44,42,2,0,0,0.2553,0.5265,0.0325
66,0.002744,3.4104,0.1421,0.5683,0.4449,44,42,2,0,0,,,
67,0.002735,3.3704,0.1410,0.5605,0.4460,44,42,2,0,0,,,
68,0.002726,3.3449,0.1393,0.5577,0.4469,45,43,2,0,0,,,
69,0.002716,3.3624,0.1407,0.5593,0.4498,45,43,2,0,0,,,
70,0.002707,3.3671,0.1417,0.5583,0.4509,43,41,2,0,0,0.2791,0.5839,0.0311
71,0.002697,3.2982,0.1339,0.5567,0.4498,44,42,2,0,0,,,
72,0.002687,3.3262,0.1362,0.5592,0.4498,45,43,2,0,0,,,
73,0.002677,3.3864,0.1433,0.5599,0.4500,44,42,2,0,0,,,
74,0.002667,3.3618,0.1388,0.5628,0.4477,44,42,2,0,0,,,
75,0.002657,3.3230,0.1347,0.5614,0.4513,45,43,2,0,0,0.2653,0.5841,0.0321
76,0.002647,3.3506,0.1422,0.5533,0.4513,44,42,2,0,0,,,
77,0.002636,3.3387,0.1387,0.5573,0.4458,44,43,2,0,0,,,
78,0.002626,3.3208,0.1396,0.5511,0.4501,44,43,2,0,0,,,
79,0.002615,3.3146,0.1404,0.5478,0.4464,44,43,2,0,0,,,
80,0.002604,3.3546,0.1397,0.5592,0.4481,44,43,2,0,0,0.2604,0.5228,0.0345
81,0.002593,5.1371,0.3232,0.6379,0.4487,40,36,2,0,0,,,
82,0.002582,5.1268,0.3225,0.6366,0.4494,40,37,2,0,0,,,
83,0.002571,5.0870,0.3256,0.6206,0.4524,39,36,3,0,0,,,
84,0.002559,5.0897,0.3235,0.6254,0.4569,40,37,3,0,0,,,
85,0.002548,5.0065,0.3181,0.6155,0.4571,39,36,2,0,0,0.1867,0.4632,0.0275
86,0.002536,5.0211,0.3175,0.6204,0.4561,40,36,2,0,0,,,
87,0.002524,4.9697,0.3140,0.6145,0.4571,39,36,2,0,0,,,
88,0.002513,4.9818,0.3137,0.6180,0.4561,40,37,2,0,0,,,
89,0.002501,4.9636,0.3122,0.6166,0.4570,39,36,2,0,0,,,
