epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000300,180.9425,19.0774,7.0808,1.0939,276,238,37,0,0,,,
2,0.000840,89.8444,8.4241,5.6129,1.6013,285,248,36,0,0,,,
3,0.001380,64.8959,5.4777,5.2686,1.7024,282,244,37,0,0,,,
4,0.001920,49.2335,3.6473,5.0138,1.7974,285,247,37,0,0,,,
5,0.002460,39.1342,2.4678,4.8480,1.8587,288,249,38,0,0,0.1225,0.5304,0.0261
6,0.003000,32.2338,1.6703,4.7178,1.8845,285,246,38,0,0,,,
7,0.002996,31.3801,1.7627,4.3197,2.0233,247,213,34,0,0,,,
8,0.002986,30.0745,1.6729,4.1729,2.0403,240,206,33,0,0,,,
9,0.002968,29.4475,1.6393,4.0833,2.0896,244,211,33,0,0,,,
10,0.002942,29.0232,1.6252,4.0054,2.0985,242,211,31,0,0,0.2696,0.6755,0.0333
11,0.002910,28.8751,1.6025,4.0138,2.1237,243,210,32,0,0,,,
12,0.002872,28.5498,1.5872,3.9630,2.1485,245,211,34,0,0,,,
13,0.002826,27.7678,1.5222,3.8975,2.1651,242,208,33,0,0,,,
14,0.002774,28.0758,1.5644,3.8901,2.1491,236,206,30,0,0,,,
15,0.002716,27.6727,1.5408,3.8365,2.1771,237,207,29,0,0,0.3670,0.7258,0.0358
16,0.002653,27.1492,1.6381,3.5111,2.2719,193,167,25,0,0,,,
17,0.002583,26.7609,1.6109,3.4685,2.2908,198,173,25,0,0,,,
18,0.002509,26.3080,1.5642,3.4486,2.2885,194,169,25,0,0,,,
19,0.002429,26.4515,1.5892,3.4345,2.3004,192,167,25,0,0,,,
20,0.002345,26.2729,1.5682,3.4319,2.3154,196,171,25,0,0,0.4214,0.7746,0.0382
21,0.002257,25.8899,1.5467,3.3791,2.3185,199,172,26,0,0,,,
22,0.002166,25.8016,1.5441,3.3622,2.3339,197,171,25,0,0,,,
23,0.002071,25.3104,1.5019,3.3238,2.3402,196,170,26,0,0,,,
24,0.001974,24.8761,1.4682,3.2827,2.3455,192,167,24,0,0,,,
25,0.001874,24.8704,1.4787,3.2602,2.3531,193,168,25,0,0,0.4713,0.7832,0.0386
26,0.001773,24.7105,1.4690,3.2397,2.3607,194,170,24,0,0,,,
27,0.001670,25.1695,1.6427,3.0070,2.4677,149,128,21,0,0,,,
28,0.001567,24.8765,1.6244,2.9703,2.4629,152,131,21,0,0,,,
29,0.001463,24.9979,1.6363,2.9769,2.4715,151,131,20,0,0,,,
30,0.001360,24.5282,1.5971,2.9379,2.4792,152,131,20,0,0,0.4819,0.7961,0.0392
31,0.001257,24.6825,1.6101,2.9505,2.4955,152,131,21,0,0,,,
32,0.001156,24.5213,1.6097,2.9109,2.4971,150,128,21,0,0,,,
33,0.001056,24.0084,1.5530,2.8962,2.5075,153,132,21,0,0,,,
34,0.000959,24.5225,1.6021,2.9265,2.5105,153,132,21,0,0,,,
35,0.000864,23.7769,1.5266,2.8910,2.5114,153,132,21,0,0,0.5143,0.8146,0.0401
36,0.000773,23.8087,1.5338,2.8846,2.5225,152,130,21,0,0,,,
37,0.000685,23.5926,1.5241,2.8500,2.5179,152,131,20,0,0,,,
38,0.000601,23.3875,1.5079,2.8310,2.5187,150,130,20,0,0,,,
39,0.000521,23.6008,1.5308,2.8386,2.5248,153,132,21,0,0,,,
40,0.000447,23.3388,1.5061,2.8225,2.5304,151,130,21,0,0,0.5095,0.8152,0.0402
41,0.000377,23.3518,1.5144,2.8091,2.5416,147,126,20,0,0,,,
42,0.000314,22.8770,1.4540,2.8112,2.5332,152,131,21,0,0,,,
43,0.000256,22.9681,1.4628,2.8164,2.5396,152,131,21,0,0,,,
44,0.000204,22.8773,1.4554,2.8085,2.5383,151,131,20,0,0,,,
45,0.000158,23.0346,1.4727,2.8133,2.5456,152,131,21,0,0,0.5127,0.8169,0.0403
46,0.000120,22.8815,1.4591,2.8021,2.5424,154,133,21,0,0,,,
47,0.000088,22.6830,1.4612,2.7485,2.5514,151,130,21,0,0,,,
48,0.000062,22.9004,1.4707,2.7836,2.5440,155,133,22,0,0,,,
49,0.000044,22.8972,1.4670,2.7902,2.5567,152,131,22,0,0,,,
50,0.000034,22.8777,1.4737,2.7721,2.5651,152,130,21,0,0,0.5151,0.8166,0.0403
