epoch,lr,train_loss,obj_loss,box_loss,foot_loss,n_pos,ap,recall,precision
90,0.001896,4.3615,2.3025,0.6393,0.0137,1722,0.1964,0.6086,0.0501
91,0.001872,4.3460,2.3027,0.6362,0.0135,1688,,,
92,0.001848,4.3564,2.3251,0.6361,0.0135,1699,,,
93,0.001824,4.3900,2.3322,0.6420,0.0137,1707,,,
94,0.001800,4.3459,2.3124,0.6351,0.0139,1730,,,
95,0.001775,4.3240,2.3022,0.6319,0.0132,1687,0.2244,0.6084,0.0529
96,0.001751,4.3307,2.2907,0.6344,0.0134,1735,,,
97,0.001727,4.3177,2.2913,0.6318,0.0129,1710,,,
98,0.001702,4.3075,2.2660,0.6323,0.0128,1740,,,
99,0.001678,4.2767,2.2608,0.6266,0.0131,1715,,,
100,0.001653,4.3337,2.2944,0.6348,0.0126,1705,0.2232,0.5949,0.0567
101,0.001628,4.3158,2.2780,0.6328,0.0127,1669,,,
102,0.001604,4.3131,2.2694,0.6332,0.0127,1722,,,
103,0.001579,4.2865,2.2718,0.6276,0.0127,1667,,,
104,0.001554,4.2822,2.2568,0.6282,0.0126,1686,,,
105,0.001530,4.2912,2.2750,0.6282,0.0126,1699,0.2298,0.6209,0.0486
106,0.001505,4.2828,2.2438,0.6297,0.0123,1711,,,
107,0.001480,4.2945,2.2668,0.6298,0.0123,1667,,,
108,0.001456,4.2617,2.2335,0.6266,0.0121,1704,,,
109,0.001431,4.2621,2.2548,0.6245,0.0122,1680,,,
110,0.001406,4.2179,2.2067,0.6205,0.0123,1713,0.2384,0.6096,0.0539
111,0.001382,4.2778,2.2504,0.6281,0.0119,1676,,,
112,0.001357,4.2569,2.2632,0.6227,0.0119,1673,,,
113,0.001332,4.2563,2.2253,0.6264,0.0117,1687,,,
114,0.001308,4.2445,2.2371,0.6228,0.0118,1707,,,
115,0.001283,4.2203,2.2062,0.6211,0.0116,1699,0.2478,0.6104,0.0610
116,0.001259,4.2270,2.2040,0.6227,0.0117,1723,,,
117,0.001235,4.2351,2.2222,0.6225,0.0117,1693,,,
118,0.001210,4.2338,2.2088,0.6236,0.0114,1724,,,
119,0.001186,4.2244,2.2161,0.6210,0.0114,1690,,,
120,0.001162,4.2321,2.2172,0.6224,0.0115,1700,0.2612,0.6267,0.0601
121,0.001138,4.2166,2.2185,0.6192,0.0112,1711,,,
122,0.001114,4.2016,2.2055,0.6175,0.0113,1675,,,
123,0.001090,4.2129,2.2021,0.6201,0.0113,1703,,,
124,0.001067,4.1594,2.1638,0.6133,0.0109,1733,,,
125,0.001043,4.2109,2.1894,0.6210,0.0113,1711,0.2403,0.6124,0.0543
126,0.001020,4.1859,2.1774,0.6172,0.0111,1710,,,
127,0.000996,4.1954,2.1786,0.6190,0.0110,1735,,,
128,0.000973,4.1762,2.1844,0.6146,0.0109,1684,,,
129,0.000950,4.1880,2.1968,0.6157,0.0110,1704,,,
130,0.000927,4.1620,2.1910,0.6111,0.0108,1675,0.2554,0.6235,0.0575
131,0.000904,4.1535,2.1512,0.6134,0.0107,1713,,,
132,0.000882,4.1506,2.1431,0.6137,0.0107,1726,,,
133,0.000860,4.1522,2.1530,0.6130,0.0107,1695,,,
134,0.000837,4.1745,2.1771,0.6150,0.0107,1681,,,
135,0.000815,4.1487,2.1463,0.6130,0.0105,1751,0.2486,0.6229,0.0534
136,0.000793,4.1667,2.1564,0.6156,0.0105,1685,,,
137,0.000772,4.1375,2.1484,0.6106,0.0105,1721,,,
138,0.000750,4.1541,2.1700,0.6118,0.0103,1702,,,
139,0.000729,4.1513,2.1574,0.6124,0.0104,1718,,,
140,0.000708,4.1329,2.1524,0.6093,0.0102,1703,0.2558,0.6165,0.0648
141,0.000687,4.1435,2.1410,0.6125,0.0103,1724,,,
142,0.000667,4.1308,2.1341,0.6107,0.0102,1741,,,
143,0.000646,4.1070,2.1372,0.6056,0.0103,1723,,,
144,0.000626,4.1194,2.1355,0.6083,0.0101,1703,,,
145,0.000606,4.1148,2.1293,0.6080,0.0103,1697,0.2565,0.6145,0.0625
146,0.000587,4.1207,2.1274,0.6094,0.0101,1710,,,
147,0.000567,4.1091,2.1208,0.6077,0.0101,1718,,,
148,0.000548,4.1328,2.1483,0.6097,0.0100,1694,,,
149,0.000529,4.0884,2.1051,0.6052,0.0100,1702,,,
150,0.000511,4.1116,2.1210,0.6082,0.0100,1711,0.2513,0.6114,0.0588
151,0.000492,4.1005,2.1226,0.6059,0.0099,1699,,,
152,0.000474,4.1012,2.1072,0.6076,0.0097,1693,,,
153,0.000457,4.0970,2.1061,0.6068,0.0098,1715,,,
154,0.000439,4.0794,2.0825,0.6057,0.0098,1722,,,
155,0.000422,4.0814,2.0891,0.6054,0.0098,1717,0.2565,0.6167,0.0650
156,0.000405,4.0866,2.0809,0.6073,0.0097,1695,,,
157,0.000389,4.0965,2.1071,0.6066,0.0098,1720,,,
158,0.000372,4.0807,2.0986,0.6044,0.0097,1697,,,
159,0.000356,4.0675,2.0861,0.6030,0.0096,1715,,,
160,0.000341,4.1014,2.1073,0.6076,0.0097,1703,0.2553,0.6126,0.0632
161,0.000325,4.1118,2.1150,0.6089,0.0097,1713,,,
162,0.000310,4.0814,2.0916,0.6052,0.0096,1709,,,
163,0.000296,4.0592,2.0863,0.6013,0.0096,1707,,,
164,0.000281,4.0558,2.0757,0.6017,0.0096,1699,,,
165,0.000267,4.0859,2.0934,0.6059,0.0096,1724,0.2626,0.6234,0.0609
166,0.000253,4.0654,2.0764,0.6035,0.0096,1755,,,
167,0.000240,4.0506,2.0528,0.6030,0.0094,1689,,,
168,0.000227,4.0742,2.0843,0.6045,0.0095,1684,,,
169,0.000214,4.0402,2.0464,0.6015,0.0095,1754,,,
170,0.000202,4.0544,2.0649,0.6025,0.0095,1719,0.2636,0.6192,0.0639
171,0.000190,4.0752,2.0758,0.6056,0.0095,1747,,,
172,0.000179,4.0453,2.0862,0.5986,0.0093,1697,,,
173,0.000167,4.0352,2.0746,0.5977,0.0094,1679,,,
174,0.000157,4.0630,2.0828,0.6025,0.0093,1728,,,
175,0.000146,4.0531,2.0775,0.6010,0.0092,1712,0.2576,0.6206,0.0594
176,0.000136,4.0401,2.0696,0.5992,0.0093,1705,,,
177,0.000126,4.0316,2.0571,0.5987,0.0093,1712,,,
178,0.000117,4.0365,2.0566,0.5998,0.0092,1693,,,
179,0.000108,4.0366,2.0697,0.5985,0.0092,1724,,,
180,0.000099,4.0468,2.0630,0.6012,0.0092,1730,0.2581,0.6196,0.0620
181,0.000091,4.0462,2.0824,0.5992,0.0092,1703,,,
182,0.000083,4.0404,2.0665,0.5996,0.0093,1681,,,
183,0.000076,4.0566,2.0793,0.6015,0.0092,1708,,,
184,0.000069,4.0383,2.0632,0.5995,0.0092,1711,,,
185,0.000062,4.0368,2.0683,0.5987,0.0093,1705,0.2606,0.6236,0.0622
186,0.000056,4.0290,2.0549,0.5985,0.0092,1699,,,
187,0.000050,4.0465,2.0697,0.6005,0.0092,1742,,,
188,0.000044,4.0041,2.0596,0.5931,0.0090,1672,,,
189,0.000039,4.0129,2.0645,0.5943,0.0092,1687,,,
190,0.000035,4.0417,2.0905,0.5975,0.0091,1683,0.2586,0.6185,0.0626
191,0.000030,4.0561,2.0757,0.6018,0.0092,1713,,,
192,0.000027,4.0285,2.0685,0.5970,0.0092,1706,,,
193,0.000023,4.0385,2.0662,0.5992,0.0092,1690,,,
194,0.000020,4.0316,2.0584,0.5987,0.0092,1720,,,
195,0.000017,4.0324,2.0650,0.5982,0.0091,1706,0.2618,0.6234,0.0630
196,0.000015,4.0383,2.0635,0.5995,0.0091,1718,,,
197,0.000013,4.0310,2.0522,0.5992,0.0091,1728,,,
198,0.000012,4.0337,2.0569,0.5992,0.0091,1748,,,
199,0.000011,4.0197,2.0397,0.5982,0.0091,1752,,,
200,0.000010,4.0391,2.0647,0.5995,0.0091,1683,0.2590,0.6219,0.0636
