epoch,lr,train_loss,obj_loss,box_loss,n_pos,ap,recall,precision
104,0.001554,4.0219,0.9659,0.7078,4267,,,
105,0.001530,4.0153,0.9591,0.7071,4269,0.3735,0.5920,0.0986
106,0.001505,4.0258,0.9699,0.7082,4184,,,
107,0.001480,4.0075,0.9718,0.7043,4213,,,
108,0.001456,4.0272,0.9664,0.7088,4230,,,
109,0.001431,4.0150,0.9589,0.7071,4248,,,
110,0.001406,4.0275,0.9631,0.7092,4175,0.3755,0.5934,0.0968
111,0.001382,4.0153,0.9546,0.7076,4323,,,
112,0.001357,4.0184,0.9639,0.7073,4270,,,
113,0.001332,4.0155,0.9622,0.7069,4264,,,
114,0.001308,4.0089,0.9685,0.7049,4222,,,
115,0.001283,4.0140,0.9699,0.7058,4191,0.3743,0.5989,0.0865
116,0.001259,3.9899,0.9669,0.7013,4181,,,
117,0.001235,3.9948,0.9720,0.7018,4241,,,
118,0.001210,3.9824,0.9677,0.6997,4197,,,
119,0.001186,3.9765,0.9673,0.6986,4205,,,
120,0.001162,3.9907,0.9695,0.7012,4259,0.3694,0.5805,0.1068
121,0.001138,3.9795,0.9684,0.6991,4245,,,
122,0.001114,3.9773,0.9710,0.6984,4208,,,
123,0.001090,3.9717,0.9696,0.6974,4163,,,
124,0.001067,3.9593,0.9681,0.6950,4271,,,
125,0.001043,3.9730,0.9711,0.6975,4150,0.3762,0.5921,0.1045
126,0.001020,3.9764,0.9675,0.6985,4157,,,
127,0.000996,3.9664,0.9660,0.6967,4262,,,
128,0.000973,3.9813,0.9606,0.7002,4267,,,
129,0.000950,3.9789,0.9612,0.6997,4239,,,
130,0.000927,3.9447,0.9695,0.6920,4227,0.3751,0.5934,0.0885
131,0.000904,3.9544,0.9600,0.6949,4202,,,
132,0.000882,3.9706,0.9612,0.6980,4264,,,
133,0.000860,3.9795,0.9610,0.6998,4224,,,
134,0.000837,3.9514,0.9688,0.6934,4211,,,
135,0.000815,3.9585,0.9713,0.6946,4215,0.3759,0.5884,0.0977
136,0.000793,3.9647,0.9643,0.6965,4192,,,
137,0.000772,3.9397,0.9678,0.6912,4236,,,
138,0.000750,3.9423,0.9677,0.6917,4233,,,
139,0.000729,3.9338,0.9740,0.6894,4257,,,
140,0.000708,3.9537,0.9659,0.6941,4271,0.3774,0.5933,0.1003
141,0.000687,3.9410,0.9693,0.6913,4256,,,
142,0.000667,3.9592,0.9601,0.6958,4254,,,
143,0.000646,3.9329,0.9583,0.6908,4287,,,
144,0.000626,3.9358,0.9696,0.6902,4163,,,
145,0.000606,3.9388,0.9596,0.6918,4207,0.3896,0.6099,0.0915
146,0.000587,3.9436,0.9618,0.6925,4328,,,
147,0.000567,3.9446,0.9657,0.6924,4242,,,
148,0.000548,3.9435,0.9662,0.6921,4255,,,
149,0.000529,3.9150,0.9733,0.6857,4178,,,
150,0.000511,3.9054,0.9648,0.6846,4165,0.3896,0.6171,0.0900
151,0.000492,3.9191,0.9669,0.6871,4218,,,
152,0.000474,3.9203,0.9626,0.6878,4271,,,
153,0.000457,3.9288,0.9643,0.6893,4188,,,
154,0.000439,3.9038,0.9634,0.6844,4245,,,
155,0.000422,3.9267,0.9649,0.6888,4207,0.3884,0.6125,0.0847
156,0.000405,3.8989,0.9697,0.6828,4182,,,
157,0.000389,3.9312,0.9608,0.6902,4209,,,
158,0.000372,3.9046,0.9632,0.6846,4223,,,
159,0.000356,3.8921,0.9619,0.6822,4263,,,
160,0.000341,3.8861,0.9658,0.6806,4175,0.3901,0.6170,0.0821
161,0.000325,3.8971,0.9670,0.6827,4204,,,
162,0.000310,3.8917,0.9658,0.6818,4237,,,
163,0.000296,3.9055,0.9584,0.6853,4290,,,
164,0.000281,3.8935,0.9651,0.6822,4243,,,
165,0.000267,3.9186,0.9648,0.6872,4322,0.3919,0.6180,0.0863
166,0.000253,3.8931,0.9659,0.6820,4160,,,
167,0.000240,3.9038,0.9618,0.6846,4190,,,
168,0.000227,3.8869,0.9636,0.6810,4189,,,
169,0.000214,3.9049,0.9674,0.6842,4173,,,
170,0.000202,3.9000,0.9649,0.6835,4230,0.3875,0.6098,0.0890
171,0.000190,3.9185,0.9645,0.6873,4226,,,
172,0.000179,3.8998,0.9584,0.6841,4253,,,
173,0.000167,3.8745,0.9656,0.6783,4237,,,
174,0.000157,3.9041,0.9678,0.6840,4223,,,
175,0.000146,3.8841,0.9658,0.6802,4237,0.3837,0.6081,0.0906
176,0.000136,3.8724,0.9629,0.6782,4296,,,
177,0.000126,3.8887,0.9561,0.6821,4256,,,
178,0.000117,3.8748,0.9600,0.6790,4284,,,
179,0.000108,3.9065,0.9612,0.6852,4262,,,
180,0.000099,3.8888,0.9611,0.6816,4202,0.3842,0.6034,0.0974
181,0.000091,3.8900,0.9589,0.6821,4212,,,
182,0.000083,3.8750,0.9646,0.6785,4217,,,
183,0.000076,3.8859,0.9642,0.6808,4227,,,
184,0.000069,3.8886,0.9610,0.6816,4276,,,
185,0.000062,3.8693,0.9589,0.6780,4235,0.3904,0.6128,0.0904
186,0.000056,3.8767,0.9599,0.6794,4256,,,
187,0.000050,3.8921,0.9560,0.6828,4293,,,
188,0.000044,3.8715,0.9574,0.6786,4284,,,
189,0.000039,3.8686,0.9632,0.6774,4241,,,
190,0.000035,3.8681,0.9623,0.6774,4320,0.3888,0.6080,0.0928
191,0.000030,3.8698,0.9613,0.6778,4265,,,
192,0.000027,3.8752,0.9620,0.6788,4260,,,
193,0.000023,3.8656,0.9655,0.6766,4232,,,
194,0.000020,3.8748,0.9607,0.6789,4273,,,
195,0.000017,3.8822,0.9626,0.6802,4211,0.3890,0.6110,0.0907
196,0.000015,3.8797,0.9645,0.6795,4150,,,
197,0.000013,3.8920,0.9615,0.6823,4231,,,
198,0.000012,3.8779,0.9632,0.6793,4223,,,
199,0.000011,3.8702,0.9628,0.6778,4294,,,
200,0.000010,3.8836,0.9592,0.6808,4183,0.3898,0.6112,0.0927
