epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
75,0.000704,5.3507,0.2223,0.8940,0.5670,73,64,9,0,0,0.5623,0.8299,0.0411
76,0.000679,5.4545,0.2286,0.9045,0.5677,75,65,9,0,0,,,
77,0.000655,5.4349,0.2291,0.8969,0.5705,75,65,10,0,0,,,
78,0.000631,5.3859,0.2257,0.8932,0.5742,75,65,10,0,0,,,
79,0.000607,5.3667,0.2243,0.8922,0.5686,73,64,9,0,0,,,
80,0.000584,5.4294,0.2283,0.8981,0.5701,74,65,9,0,0,0.5608,0.8226,0.0408
81,0.000560,5.3749,0.2269,0.8863,0.5713,73,64,9,0,0,,,
82,0.000538,5.4729,0.2335,0.8949,0.5713,74,64,10,0,0,,,
83,0.000515,5.3637,0.2236,0.8937,0.5675,73,64,9,0,0,,,
84,0.000493,5.4195,0.2258,0.9034,0.5707,75,65,10,0,0,,,
85,0.000471,5.4058,0.2274,0.8944,0.5694,74,64,10,0,0,0.5617,0.8273,0.0411
86,0.000450,5.3975,0.2254,0.8981,0.5714,74,64,10,0,0,,,
87,0.000429,5.3820,0.2257,0.8926,0.5692,73,64,9,0,0,,,
88,0.000408,5.4284,0.2298,0.8941,0.5692,74,64,9,0,0,,,
89,0.000388,5.4007,0.2256,0.8986,0.5715,75,65,10,0,0,,,
90,0.000369,5.3663,0.2232,0.8955,0.5716,75,65,10,0,0,0.5590,0.8265,0.0408
91,0.000350,5.3955,0.2249,0.8989,0.5717,75,65,10,0,0,,,
92,0.000331,5.4123,0.2269,0.8982,0.5705,74,64,10,0,0,,,
93,0.000313,5.4041,0.2241,0.9037,0.5719,76,65,10,0,0,,,
94,0.000295,5.4157,0.2271,0.8986,0.5705,76,66,10,0,0,,,
95,0.000278,5.4053,0.2275,0.8946,0.5709,74,64,10,0,0,0.5632,0.8278,0.0409
96,0.000262,5.4024,0.2271,0.8950,0.5713,74,65,10,0,0,,,
97,0.000246,5.3812,0.2265,0.8907,0.5709,74,65,10,0,0,,,
98,0.000230,5.3611,0.2246,0.8902,0.5707,75,65,10,0,0,,,
99,0.000215,5.3106,0.2205,0.8870,0.5697,73,63,10,0,0,,,
100,0.000201,5.3353,0.2203,0.8944,0.5709,74,64,10,0,0,0.5638,0.8273,0.0409
101,0.000187,5.3339,0.2218,0.8901,0.5722,74,65,9,0,0,,,
102,0.000174,5.3030,0.2212,0.8833,0.5743,73,64,10,0,0,,,
103,0.000162,5.3533,0.2217,0.8955,0.5713,75,65,10,0,0,,,
104,0.000150,5.3222,0.2181,0.8959,0.5711,75,65,10,0,0,,,
105,0.000139,5.3482,0.2223,0.8927,0.5756,74,64,10,0,0,0.5627,0.8255,0.0408
106,0.000128,5.3915,0.2253,0.8970,0.5724,75,65,10,0,0,,,
107,0.000118,5.3115,0.2187,0.8915,0.5722,76,65,10,0,0,,,
108,0.000109,5.3298,0.2214,0.8899,0.5703,74,65,10,0,0,,,
109,0.000100,5.3191,0.2190,0.8926,0.5701,76,67,10,0,0,,,
110,0.000092,5.4003,0.2281,0.8930,0.5736,76,66,10,0,0,0.5628,0.8272,0.0408
111,0.000085,5.3349,0.2217,0.8904,0.5692,74,64,10,0,0,,,
112,0.000078,5.3375,0.2211,0.8925,0.5708,76,66,10,0,0,,,
113,0.000072,5.3607,0.2232,0.8937,0.5718,74,64,10,0,0,,,
114,0.000067,5.3484,0.2223,0.8926,0.5688,73,64,9,0,0,,,
115,0.000063,5.3258,0.2215,0.8885,0.5707,74,64,10,0,0,0.5603,0.8255,0.0408
116,0.000059,5.3386,0.2228,0.8890,0.5705,76,66,10,0,0,,,
117,0.000056,5.4144,0.2273,0.8989,0.5732,75,65,10,0,0,,,
118,0.000053,5.3364,0.2200,0.8942,0.5705,76,66,10,0,0,,,
119,0.000051,5.3393,0.2239,0.8870,0.5742,74,64,10,0,0,,,
120,0.000050,5.3047,0.2220,0.8821,0.5694,74,64,10,0,0,0.5624,0.8273,0.0408
